key,english,before,after,reason
app.skills.taskSkillPanel.loadFailed,The skill could not be loaded.,无法加载此 Skill。,无法加载此技能。,agent-skill-display
app.skills.taskSkillPanel.openInStudio,Open in Skill Studio,在 Skill Studio 中打开,在技能工作室中打开,agent-skill-display
app.skills.taskSkillPanel.instructions,Skill instructions,Skill 说明,技能说明,agent-skill-display
app.skills.taskSkillPanel.instructionsEmpty,Skill instructions are empty.,Skill 说明为空。,技能说明为空。,agent-skill-display
app.skills.agentSkillReleasePicker.skillRelease,Skill release,Skill 发布版本,技能发布版本,agent-skill-display
app.skills.agentSkillsTab.paperclipCannotManageSkillsForCustomACPCommandsYet,Paperclip cannot manage skills for custom ACP commands yet.,Paperclip 暂不支持管理自定义 ACP 命令的 Skill。,Paperclip 暂不支持管理自定义 ACP 命令的技能。,agent-skill-display
app.skills.agentSkillsTab.paperclipCannotManageOpenClawSkillsHereVisitYourOpenClaw,Paperclip cannot manage OpenClaw skills here. Visit your OpenClaw instance to manage this agent's skills.,无法在此管理 OpenClaw Skill。请前往你的 OpenClaw 实例管理此 Agent 的 Skill。,无法在此管理 OpenClaw 技能。请前往你的 OpenClaw 实例管理此智能体的技能。,agent-skill-display
app.skills.agentSkillsTab.paperclipCannotManageSkillsForThisAdapterYetManage,Paperclip cannot manage skills for this adapter yet. Manage them in the adapter directly.,Paperclip 暂不支持管理此适配器的 Skill，请直接在适配器中管理。,Paperclip 暂不支持管理此适配器的技能，请直接在适配器中管理。,agent-skill-display
app.skills.agentSkillsTab.paperclipRunnerUsesNativeSemanticCoordinationAndCannotAttach,Paperclip Runner uses native semantic coordination and cannot attach the legacy Paperclip operational skill.,Paperclip Runner 使用原生语义协调，无法挂载旧版 Paperclip 操作 Skill。,Paperclip Runner 使用原生语义协调，无法挂载旧版 Paperclip 操作技能。,agent-skill-display
app.skills.agentSkillsTab.searchSkills,Search skills,搜索 Skill,搜索技能,agent-skill-display
app.skills.agentSkillsTab.browseSkillsStore,Browse skills store,浏览 Skill 商店,浏览技能商店,agent-skill-display
app.skills.agentSkillsTab.failedToUpdateSkills,Failed to update skills,更新 Skill 失败,更新技能失败,agent-skill-display
app.skills.agentSkillsTab.enabledOnThisAgent,Enabled on this agent,已在此 Agent 上启用,已在此智能体上启用,agent-skill-display
app.skills.agentSkillsTab.noEnabledSkillsMatchYourSearch,No enabled skills match your search.,没有符合搜索条件的已启用 Skill。,没有符合搜索条件的已启用技能。,agent-skill-display
app.skills.agentSkillsTab.noSkillsEnabledOnThisAgentYet,No skills enabled on this agent yet.,此 Agent 尚未启用任何 Skill。,此智能体尚未启用任何技能。,agent-skill-display
app.skills.agentSkillsTab.availableFromTheLibrary,Available from the library,Skill 库中可用,技能库中可用,agent-skill-display
app.skills.agentSkillsTab.noAvailableSkillsMatchYourSearch,No available skills match your search.,没有符合搜索条件的可用 Skill。,没有符合搜索条件的可用技能。,agent-skill-display
app.skills.agentSkillsTab.importSkillsIntoTheOrganizationLibraryToEnableThem,Import skills into the organization library to enable them here.,将 Skill 导入组织 Skill 库后，即可在此启用。,将技能导入组织技能库后，即可在此启用。,agent-skill-display
app.skills.agentSkillsTab.everyLibrarySkillIsEnabledOnThisAgent,Every library skill is enabled on this agent.,Skill 库中的所有 Skill 均已在此 Agent 上启用。,技能库中的所有技能均已在此智能体上启用。,agent-skill-display
app.skills.agentSkillsTab.automaticAndDetectedSkillsReadonly,Automatic and detected skills (read-only),自动与检测到的 Skill（只读）,自动与检测到的技能（只读）,agent-skill-display
app.skills.agentSkillsTab.noDetectedSkillsMatchYourSearch,No detected skills match your search.,没有符合搜索条件的检测到的 Skill。,没有符合搜索条件的检测到的技能。,agent-skill-display
app.skills.agentSkillsTab.noSkillsInTheOrganizationLibrary,No skills in the organization library,组织 Skill 库中暂无 Skill,组织技能库中暂无技能,agent-skill-display
app.skills.agentSkillsTab.installSkillsToTheOrganizationThenEnableThemOn,"Install skills to the organization, then enable them on this agent.",先将 Skill 安装到组织，再在此 Agent 上启用。,先将技能安装到组织，再在此智能体上启用。,agent-skill-display
app.skills.agentSkillsTab.materializationNote,Enabled skills are materialized into the stable Paperclip-managed prompt bundle on the agent's next run.,启用的 Skill 将在 Agent 下次运行时加入由 Paperclip 管理的稳定提示词包。,启用的技能将在智能体下次运行时加入由 Paperclip 管理的稳定提示词包。,agent-skill-display
app.skills.agentSkillsTab.enabledSkillMissing,<skill/> is enabled but missing from the organization library.,<skill/> 已启用，但组织库中找不到此 Skill。,<skill/> 已启用，但组织库中找不到此技能。,agent-skill-display
app.skills.importSkillsFromProjectDialog.skillsImported,Skills imported,Skill 已导入,技能已导入,agent-skill-display
app.skills.importSkillsFromProjectDialog.nothingImported,Nothing imported,未导入任何 Skill,未导入任何技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.noSkillsWereImported,No skills were imported.,未导入任何 Skill。,未导入任何技能。,agent-skill-display
app.skills.importSkillsFromProjectDialog.skillAlreadyImported,Skill already imported,Skill 已导入,技能已导入,agent-skill-display
app.skills.importSkillsFromProjectDialog.skillCouldNotBeAdded,Skill could not be added,无法添加 Skill,无法添加技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.couldNotInspectSkill,Could not inspect skill,无法检查 Skill,无法检查技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.importSkillsFromProject,Import skills from project,从项目导入 Skill,从项目导入技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.pickAProjectScanItsWorkspacesForSkillsAnd,"Pick a project, scan its workspaces for skills, and import them as references.",选择项目，扫描其工作区中的 Skill，并以引用方式导入。,选择项目，扫描其工作区中的技能，并以引用方式导入。,agent-skill-display
app.skills.importSkillsFromProjectDialog.lookingInWellknownSkillFoldersAcrossEachWorkspace,Looking in well-known skill folders across each workspace.,正在各工作区的常用 Skill 文件夹中查找。,正在各工作区的常用技能文件夹中查找。,agent-skill-display
app.skills.importSkillsFromProjectDialog.discoveredSkills,Discovered skills,发现的 Skill,发现的技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.addSkill,Add skill,添加 Skill,添加技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.youCantImportSkillsHere,You can't import skills here,无法在此导入 Skill,无法在此导入技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.yourAccountDoesntHavePermissionToAddSkillsTo,"Your account doesn't have permission to add skills to this organization. Ask an owner to grant the skills permission, then try again.",你的账号无权为此组织添加 Skill。请联系所有者授予 Skill 权限后重试。,你的账号无权为此组织添加技能。请联系所有者授予技能权限后重试。,agent-skill-display
app.skills.importSkillsFromProjectDialog.noSkillsFound,No skills found,未找到 Skill,未找到技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.chooseDiscoveredSkillsOrBrowseAnyWorkspaceFolder,"Choose discovered skills, or browse any workspace folder.",选择已发现的 Skill，或浏览任意工作区文件夹。,选择已发现的技能，或浏览任意工作区文件夹。,agent-skill-display
app.skills.importSkillsFromProjectDialog.searchDiscoveredSkills,Search discovered skills…,搜索已发现的 Skill…,搜索已发现的技能…,agent-skill-display
app.skills.importSkillsFromProjectDialog.searchDiscoveredSkills2,Search discovered skills,搜索已发现的 Skill,搜索已发现的技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.theseSkillsReferenceTheFilesInTheProjectWorkspace,These skills reference the files in the project workspace — editing them in Skill Studio saves directly back to those files.,这些 Skill 引用项目工作区中的文件，在 Skill Studio 中的编辑将直接保存回这些文件。,这些技能引用项目工作区中的文件，在技能工作室中的编辑将直接保存回这些文件。,agent-skill-display
app.skills.importSkillsFromProjectDialog.importOne,Import {{count}} skill,导入 {{count}} 个 Skill,导入 {{count}} 个技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.importMany,Import {{count}} skills,导入 {{count}} 个 Skill,导入 {{count}} 个技能,agent-skill-display
app.skills.importSkillsFromProjectDialog.importedOne,{{count}} skill imported as references from {{project}}.,已从 {{project}} 以引用方式导入 {{count}} 个 Skill。,已从 {{project}} 以引用方式导入 {{count}} 个技能。,agent-skill-display
app.skills.importSkillsFromProjectDialog.importedMany,{{count}} skills imported as references from {{project}}.,已从 {{project}} 以引用方式导入 {{count}} 个 Skill。,已从 {{project}} 以引用方式导入 {{count}} 个技能。,agent-skill-display
app.skills.importSkillsFromProjectDialog.noSkillsMatch,No skills match “{{filter}}”.,没有符合“{{filter}}”的 Skill。,没有符合“{{filter}}”的技能。,agent-skill-display
app.skills.importSkillsFromProjectDialog.scanningProject,Scanning {{project}} for skills…,正在扫描 {{project}} 中的 Skill…,正在扫描 {{project}} 中的技能…,agent-skill-display
app.skills.importSkillsFromProjectDialog.searchedFolders,None of the well-known skill folders in this project's workspaces contain a <file>SKILL.md</file>. We searched {{folders}} and {{count}} other agent-harness folders.,此项目工作区的常用 Skill 文件夹中均未找到 <file>SKILL.md</file>。已搜索 {{folders}} 及另外 {{count}} 个 Agent 运行器文件夹。,此项目工作区的常用技能文件夹中均未找到 <file>SKILL.md</file>。已搜索 {{folders}} 及另外 {{count}} 个智能体运行器文件夹。,agent-skill-display
app.skills.importSkillsFromProjectDialog.nonStandardFolders,"For skills in non-standard folders, use <link>Import from path or URL</link>.",对于非标准文件夹中的 Skill，请使用<link>从路径或 URL 导入</link>。,对于非标准文件夹中的技能，请使用<link>从路径或 URL 导入</link>。,agent-skill-display
app.reports.statusCardDetailDrawer.interestHelp,This one message drives the whole card: the agent compiles the watch query from it and follows it as the instructions for every update. Editing it rebuilds the card.,这条消息驱动整张卡片：Agent 据此编译关注查询，并在每次更新时按它执行。修改后会重建卡片。,这条消息驱动整张卡片：智能体据此编译关注查询，并在每次更新时按它执行。修改后会重建卡片。,agent-skill-display
app.reports.summarizerAgentSelect.searchAgents,Search agents...,搜索 Agent…,搜索智能体…,agent-skill-display
app.reports.auditHub.description,"Review what happened, inspect agent runs, and understand the costs and budget controls behind your organization.",回顾发生了什么、检查 Agent 运行，并了解组织背后的成本和预算控制。,回顾发生了什么、检查智能体运行，并了解组织背后的成本和预算控制。,agent-skill-display
app.reports.auditRuns.description,"Recent agent executions across the organization. Open a run to inspect its transcript, output, and task context.",组织内最近的 Agent 执行记录。打开一次运行可查看其记录、输出和任务上下文。,组织内最近的智能体执行记录。打开一次运行可查看其记录、输出和任务上下文。,agent-skill-display
app.reports.auditRuns.allAgents,All agents,全部 Agent,全部智能体,agent-skill-display
app.reports.auditFeed.upsellTitle,Agent audit is a Paperclip Enterprise view,Agent 审计是 Paperclip Enterprise 视图,智能体审计是 Paperclip Enterprise 视图,agent-skill-display
app.reports.auditFeed.upsellBody,"The agent audit log gives you a searchable, exportable record of everything your agents did — every comment, task change, approval, and run — with the responsible person for each action. Ask an administrator to grant you the <code>audit:view_agent_actions</code> permission to view it.",Agent 审计日志提供可搜索、可导出的记录，涵盖 Agent 做过的每件事（每条评论、任务变更、审批和运行），并标明每项操作的负责人。请让管理员授予 <code>audit:view_agent_actions</code> 权限后查看。,智能体审计日志提供可搜索、可导出的记录，涵盖智能体做过的每件事（每条评论、任务变更、审批和运行），并标明每项操作的负责人。请让管理员授予 <code>audit:view_agent_actions</code> 权限后查看。,agent-skill-display
app.reports.auditFeed.agentsDescription,"Every recorded agent action, newest first — with the responsible person and run behind each one.",所有已记录的 Agent 操作，最新的在前，并附有每项操作的负责人和对应运行。,所有已记录的智能体操作，最新的在前，并附有每项操作的负责人和对应运行。,agent-skill-display
app.reports.auditFeed.allDescriptionOrg,"Everything happening in your organization, newest first — people, agents, and the system. Each line is one recorded action.",组织内发生的一切，最新的在前，包括人员、Agent 和系统。每一行是一条已记录的操作。,组织内发生的一切，最新的在前，包括人员、智能体和系统。每一行是一条已记录的操作。,agent-skill-display
app.reports.auditFeed.allDescriptionCompany,"Everything happening in your company, newest first — people, agents, and the system. Each line is one recorded action.",组织内发生的一切，最新的在前，包括人员、Agent 和系统。每一行是一条已记录的操作。,组织内发生的一切，最新的在前，包括人员、智能体和系统。每一行是一条已记录的操作。,agent-skill-display
app.reports.auditFeed.agentActions,Agent actions,Agent 操作,智能体操作,agent-skill-display
app.reports.auditFeed.agentActionsTitle,Agent Actions,Agent 操作,智能体操作,agent-skill-display
app.reports.auditFeed.agentActionsRequiresAccess,Agent Actions requires audit access,Agent 操作需要审计权限,智能体操作需要审计权限,agent-skill-display
app.reports.auditFeed.scopedToAgent,Scoped to one agent,仅限单个 Agent,仅限单个智能体,agent-skill-display
app.reports.auditFeed.emptyAgents,"As soon as your agents start doing things, their actions show up here.",Agent 开始工作后，它们的操作会显示在这里。,智能体开始工作后，它们的操作会显示在这里。,agent-skill-display
app.reports.teamCatalog.rootAgent,root agent,根 Agent,根智能体,agent-skill-display
app.reports.teamCatalog.noAgents,No agents in this team.,此团队没有 Agent。,此团队没有智能体。,agent-skill-display
app.reports.teamCatalog.noRequiredSkills,No required skills.,没有必需的 Skill。,没有必需的技能。,agent-skill-display
app.reports.teamCatalog.requiresPermission,Requires board operator or agent-create permissions.,需要 Board 操作员或创建 Agent 权限。,需要 Board 操作员或创建智能体权限。,agent-skill-display
app.reports.teamCatalog.requiredSkills,Required skills,必需 Skill,必需技能,agent-skill-display
app.reports.teamCatalog.agentHierarchy,Agent hierarchy,Agent 层级,智能体层级,agent-skill-display
app.reports.teamCatalog.steps.skillPlan,Prerequisite skills,前置 Skill,前置技能,agent-skill-display
app.reports.teamCatalog.targetManagerHelp,This team's root agents need a manager in your organization. Pick the agent who will become their parent. Internal team hierarchy is preserved.,此团队的根 Agent 需要在组织中有一位上级。请选择将成为其上级的 Agent。团队内部层级会保留。,此团队的根智能体需要在组织中有一位上级。请选择将成为其上级的智能体。团队内部层级会保留。,agent-skill-display
app.reports.teamCatalog.rootAgents,Root agents,根 Agent,根智能体,agent-skill-display
app.reports.teamCatalog.searchAgents,Search agents…,搜索 Agent…,搜索智能体…,agent-skill-display
app.reports.teamCatalog.policy.external.description,Resolve github/url skill and team sources at install time.,在安装时解析 github/url Skill 和团队来源。,在安装时解析 github/url 技能和团队来源。,agent-skill-display
app.reports.teamCatalog.skillPlanHelp,"Before agents are imported, the catalog resolves the skills they depend on. This is the resolution plan.",导入 Agent 前，目录会先解析它们依赖的 Skill。以下是解析计划。,导入智能体前，目录会先解析它们依赖的技能。以下是解析计划。,agent-skill-display
app.reports.teamCatalog.section.agents,Agents · {{count}},Agent · {{count}},智能体 · {{count}},agent-skill-display
app.reports.teamCatalog.adapterHelp,Each imported agent defaults to its package adapter; override here before install. Deeper per-adapter model config is editable on the agent after install.,每个导入的 Agent 默认使用其包内适配器，可在安装前于此处覆盖。更细的适配器模型配置可在安装后到 Agent 上编辑。,每个导入的智能体默认使用其包内适配器，可在安装前于此处覆盖。更细的适配器模型配置可在安装后到智能体上编辑。,agent-skill-display
app.reports.teamCatalog.installingHelp,"Resolving skills, importing agents, projects, and routines. This may take a moment.",正在解析 Skill 并导入 Agent、项目和例程，可能需要一点时间。,正在解析技能并导入智能体、项目和例程，可能需要一点时间。,agent-skill-display
app.reports.teamCatalog.agentsImported,Agents imported,已导入 Agent,已导入智能体,agent-skill-display
app.reports.teamCatalog.skillsResolved,Skills resolved,已解析 Skill,已解析技能,agent-skill-display
app.reports.teamCatalog.viewAgents,View imported agents →,查看已导入的 Agent →,查看已导入的智能体 →,agent-skill-display
app.reports.teamCatalog.count.agentOne,1 agent,1 个 Agent,1 个智能体,agent-skill-display
app.reports.teamCatalog.count.agentMany,{{count}} agents,{{count}} 个 Agent,{{count}} 个智能体,agent-skill-display
app.reports.activityFeed.noAgentsSetUpYetAddAnAgentToGetStarted,No agents set up yet. Add an agent to get started.,尚未设置 Agent。添加 Agent 即可开始。,尚未设置智能体。添加智能体即可开始。,agent-skill-display
app.reports.activityFeed.allAgentsArePausedResumeAgentsFromTheSidebarToSeeActivity,All agents are paused. Resume agents from the sidebar to see activity.,所有 Agent 均已暂停。从侧边栏恢复 Agent 以查看活动。,所有智能体均已暂停。从侧边栏恢复智能体以查看活动。,agent-skill-display
app.reports.activityFeed.yourAgentsAreRunningActivityWillAppearHereShortly,Your agents are running — activity will appear here shortly.,Agent 正在运行，活动即将显示在此处。,智能体正在运行，活动即将显示在此处。,agent-skill-display
app.reports.activityFeed.agentFeed,Agent Feed,Agent 动态,智能体动态,agent-skill-display
app.reports.activityFeed.liveActivityFromYourAgents,Live activity from your agents,Agent 的实时活动,智能体的实时活动,agent-skill-display
app.reports.activityFeed.activityFromYourAgentsWillAppearHere,Activity from your agents will appear here.,Agent 的活动将显示在此处。,智能体的活动将显示在此处。,agent-skill-display
app.reports.budgetIncidentCard.scope.agent,agent,Agent,智能体,agent-skill-display
app.reports.budgetPolicyCard.scope.agent,agent,Agent,智能体,agent-skill-display
app.reports.caseFieldsPanel.fromTheSkillsSchemaRenderedGenerically,from the skill's schema — rendered generically,根据 Skill 的结构定义通用呈现,根据技能的结构定义通用呈现,agent-skill-display
app.reports.cases.casesAreDurableWorkProductsBlogPostsTweetStormsDocsPagesThat,"Cases are durable work products — blog posts, tweet storms, docs pages — that tasks create and iterate on. In v1 they're created by agents, not from the UI.",案例是由任务创建和迭代的持久工作成果，例如博客文章、推文串和文档页面。v1 中由 Agent 创建，界面暂不支持创建。,案例是由任务创建和迭代的持久工作成果，例如博客文章、推文串和文档页面。v1 中由智能体创建，界面暂不支持创建。,agent-skill-display
app.reports.cases.toStartCreatingCasesAddThisToASkill,"To start creating cases, add this to a skill:",要开始创建案例，请将以下内容添加到 Skill 中：,要开始创建案例，请将以下内容添加到技能中：,agent-skill-display
app.reports.cases.apiReference,See the paperclip skill → <code>references/cases.md</code> for the API.,查看 paperclip Skill → <code>references/cases.md</code>，了解 API。,查看 paperclip 技能 → <code>references/cases.md</code>，了解 API。,agent-skill-display
app.reports.costs.byAgent,By agent,按 Agent,按智能体,agent-skill-display
app.reports.costs.whatEachAgentConsumedInTheSelectedPeriod,What each agent consumed in the selected period.,所选期间各 Agent 的消耗。,所选期间各智能体的消耗。,agent-skill-display
app.reports.costs.hardstopSpendLimitsForAgentsAndProjectsProviderSubscriptionQuotaStaysSeparate,Hard-stop spend limits for agents and projects. Provider subscription quota stays separate and appears under Providers.,Agent 和项目的强制支出上限。提供方订阅配额独立显示在“提供方”中。,智能体和项目的强制支出上限。提供方订阅配额独立显示在“提供方”中。,agent-skill-display
app.reports.costs.pausedAgents,Paused agents,已暂停的 Agent,已暂停的智能体,agent-skill-display
app.reports.costs.agentHeartbeatsBlockedByBudget,Agent heartbeats blocked by budget,因预算而受阻的 Agent 心跳,因预算而受阻的智能体心跳,agent-skill-display
app.reports.costs.recurringMonthlySpendPoliciesForIndividualAgents,Recurring monthly spend policies for individual agents.,单个 Agent 的月度循环支出策略。,单个智能体的月度循环支出策略。,agent-skill-display
app.reports.costs.noBudgetPoliciesYetSetAgentAndProjectBudgetsFromTheirDetail,"No budget policies yet. Set agent and project budgets from their detail pages, or use the existing company monthly budget control.",暂无预算策略。在 Agent 和项目详情页设置预算，或使用现有的组织月度预算控制。,暂无预算策略。在智能体和项目详情页设置预算，或使用现有的组织月度预算控制。,agent-skill-display
app.reports.costs.noBudgetPoliciesYetSetAgentAndProjectBudgetsFromTheirDetailAlt,"No budget policies yet. Set agent and project budgets from their detail pages, or use the existing organization monthly budget control.",暂无预算策略。在 Agent 和项目详情页设置预算，或使用现有的组织月度预算控制。,暂无预算策略。在智能体和项目详情页设置预算，或使用现有的组织月度预算控制。,agent-skill-display
app.reports.costs.pausedScopes,{{agents}} agents paused · {{projects}} projects paused,{{agents}} 个 Agent 已暂停 · {{projects}} 个项目已暂停,{{agents}} 个智能体已暂停 · {{projects}} 个项目已暂停,agent-skill-display
app.reports.costs.scopeagent,agent budgets,Agent 预算,智能体预算,agent-skill-display
app.reports.costs.productionScopeagent,agent budgets,Agent 预算,智能体预算,agent-skill-display
app.reports.dashboardLive.liveAgentRuns,Live agent runs,Agent 实时运行,智能体实时运行,agent-skill-display
app.reports.dashboardLive.noActiveOrRecentAgentRuns,No active or recent agent runs.,没有活跃或近期的 Agent 运行。,没有活跃或近期的智能体运行。,agent-skill-display
app.reports.createStatusCardDialog.oneMessageSetsUpTheWholeCardSayWhatYouWantTo,One message sets up the whole card: say what you want to watch and what each update should tell you. The agent builds the query from it and writes every update against it.,用一条消息设置整张卡片：说明要关注的内容以及每次更新应提供的信息。Agent 据此构建查询并撰写每次更新。,用一条消息设置整张卡片：说明要关注的内容以及每次更新应提供的信息。智能体据此构建查询并撰写每次更新。,agent-skill-display
app.reports.createStatusCardDialog.runsThisCardsSetupAndUpdatesLeaveOnTheDefaultUnlessAnother,Runs this card's setup and updates. Leave on the default unless another agent should own it.,负责此卡片的设置和更新。除非需要其他 Agent 负责，否则保留默认设置。,负责此卡片的设置和更新。除非需要其他智能体负责，否则保留默认设置。,agent-skill-display
app.issueUi.attentionQueueRow.provenance.anAgent,an agent,某个 Agent,某个智能体,agent-skill-display
app.issueUi.commentAttributionChip.thisAgent,This agent,此 Agent,此智能体,agent-skill-display
app.issueUi.decisionCard.provenance.anAgent,an agent,某个 Agent,某个智能体,agent-skill-display
app.issueUi.decisionTriageStrip.failed.askAgent,Could not ask that agent for a recommendation,无法请该 Agent 给出建议,无法请该智能体给出建议,agent-skill-display
app.issueUi.decisionTriageStrip.askAgent,Ask agent for recommendation,请 Agent 给出建议,请智能体给出建议,agent-skill-display
app.issueUi.documentAnnotationPanel.agentSuffix,· agent,· Agent,· 智能体,agent-skill-display
app.issueUi.documentDiffModal.actor.agent,agent,Agent,智能体,agent-skill-display
app.issueUi.issueBlockedNotice.inFlight,A correction run is in progress — the agent is working. This alert returns if the run stops without choosing a next step.,修正运行正在进行中，Agent 正在处理。如果运行停止时仍未选择下一步，此提醒会再次出现。,修正运行正在进行中，智能体正在处理。如果运行停止时仍未选择下一步，此提醒会再次出现。,agent-skill-display
app.issueUi.issueMonitorBanner.agentResumes,Agent resumes {{eta}},Agent 将于 {{eta}} 恢复,智能体将于 {{eta}} 恢复,agent-skill-display
app.issueUi.issueMonitorBanner.agentRetryDueNow,Agent retry due now,Agent 重试已到期,智能体重试已到期,agent-skill-display
app.issueUi.issueMonitorBanner.agentRetryEta,Agent retry {{eta}},Agent 重试 {{eta}},智能体重试 {{eta}},agent-skill-display
app.issueUi.issueMonitorBanner.keepSending,You can keep sending instructions while the agent waits.,Agent 等待期间，你仍可以继续发送指令。,智能体等待期间，你仍可以继续发送指令。,agent-skill-display
app.issueUi.issueMonitorBanner.replyWakes,Sending a reply wakes the agent now — before the scheduled check.,发送回复会立即唤醒 Agent，无需等到计划检查时间。,发送回复会立即唤醒智能体，无需等到计划检查时间。,agent-skill-display
app.issueUi.issuePlanDecompositionsSection.agentFallback,agent,Agent,智能体,agent-skill-display
app.issueUi.issueRecoveryActionCard.wake.wakeOwner,An agent will be asked to choose the next step,将请 Agent 选择下一步,将请智能体选择下一步,agent-skill-display
app.issueUi.issueRecoveryActionCard.agentFallback,agent {{id}},Agent {{id}},智能体 {{id}},agent-skill-display
app.issueUi.issueThreadInteractionCard.plan.approvedResumeFailed,Approved — agent resume failed,已批准 — Agent 恢复失败,已批准 — 智能体恢复失败,agent-skill-display
app.issueUi.issueThreadInteractionCard.resume.failed,Agent resume failed,Agent 恢复失败,智能体恢复失败,agent-skill-display
app.issueUi.issueThreadInteractionCard.resume.retrying,Paperclip is retrying the agent resume after approval (attempt {{attempt}}/{{max}}).,批准后 Paperclip 正在重试恢复 Agent（第 {{attempt}}/{{max}} 次）。,批准后 Paperclip 正在重试恢复智能体（第 {{attempt}}/{{max}} 次）。,agent-skill-display
app.issueUi.issueThreadInteractionCard.resume.needsAttention,Paperclip needs attention before the agent can resume this approved work.,Agent 恢复这项已批准的工作之前，Paperclip 需要人工处理。,智能体恢复这项已批准的工作之前，Paperclip 需要人工处理。,agent-skill-display
app.issueUi.issueThreadInteractionCard.confirm.tellAgent,Optional: tell the agent what you'd change.,可选：告诉 Agent 你想改什么。,可选：告诉智能体你想改什么。,agent-skill-display
app.issueUi.issueThreadInteractionCard.secret.targetAgent,Target agent,目标 Agent,目标智能体,agent-skill-display
app.issueUi.issueThreadInteractionCard.secret.canUseAt,The target agent can now use the proposed config path · {{when}}.,目标 Agent 现在可以使用提议的配置路径 · {{when}}。,目标智能体现在可以使用提议的配置路径 · {{when}}。,agent-skill-display
app.issueUi.issueThreadInteractionCard.secret.canUse,The target agent can now use the proposed config path.,目标 Agent 现在可以使用提议的配置路径。,目标智能体现在可以使用提议的配置路径。,agent-skill-display
app.issueUi.issueThreadInteractionCard.connection.anAgent,An agent,某个 Agent,某个智能体,agent-skill-display
app.issueUi.issueThreadInteractionCard.connection.theAgent,the agent,该 Agent,该智能体,agent-skill-display
app.issueUi.issueThreadInteractionCard.connection.theAgentCap,The agent,该 Agent,该智能体,agent-skill-display
app.issueUi.issueThreadInteractionCard.resolvedByAgentTooltip,Resolved by an agent under the organization's interaction governance policy — audit-distinct from a human board resolution.,由 Agent 依据组织的交互治理策略处理 — 在审计中与 Board 的人工处理区分记录。,由智能体依据组织的交互治理策略处理 — 在审计中与 Board 的人工处理区分记录。,agent-skill-display
app.issueUi.issueThreadInteractionCard.verdict.reasonPlaceholder,Give the agent a reason so it can act on this item.,给 Agent 一个原因，以便它处理此项。,给智能体一个原因，以便它处理此项。,agent-skill-display
app.issueUi.issueThreadInteractionCard.addressee.tooltip,Directed to {{name}}. Agent-addressed interactions are owned by that agent and are kept out of the open organization attention feed.,指定给 {{name}}。指定给 Agent 的交互归该 Agent 所有，不会出现在组织公开的待处理动态中。,指定给 {{name}}。指定给智能体的交互归该智能体所有，不会出现在组织公开的待处理动态中。,agent-skill-display
app.issueUi.issueThreadInteractionCard.footer.anAgent,an agent,某个 Agent,某个智能体,agent-skill-display
app.issueUi.taskTreeControls.wakeCount,Wake affected agents ({{count}}),唤醒受影响的 Agent（{{count}}）,唤醒受影响的智能体（{{count}}）,agent-skill-display
app.issueUi.searchResultRow.agent,Agent,Agent,智能体,agent-skill-display
app.issueUi.approvalDetail.openHiredAgent,Open hired agent,打开已聘用的 Agent,打开已聘用的智能体,agent-skill-display
app.issueUi.approvalDetail.requestingAgentWasNotifiedToReviewThisApprovalAnd,Requesting agent was notified to review this approval and linked tasks.,已通知申请 Agent 查看此审批及关联任务。,已通知申请智能体查看此审批及关联任务。,agent-skill-display
app.issueUi.approvalDetail.agent,Agent,Agent,智能体,agent-skill-display
app.issueUi.approvalDetail.linkedTasksRemainOpenUntilTheRequestingAgentFollows,Linked tasks remain open until the requesting agent follows up and closes them.,关联任务保持打开，直到申请 Agent 跟进并关闭。,关联任务保持打开，直到申请智能体跟进并关闭。,agent-skill-display
app.issueUi.approvalDetail.deleteThisDisapprovedAgentThisCannotBeUndone,Delete this disapproved agent? This cannot be undone.,删除此未获批准的 Agent？此操作无法撤销。,删除此未获批准的智能体？此操作无法撤销。,agent-skill-display
app.issueUi.approvalDetail.deleteDisapprovedAgent,Delete disapproved agent,删除未获批准的 Agent,删除未获批准的智能体,agent-skill-display
app.issueUi.decisionQueuePage.decisionsLandHereWhenTheyMatchTheQueuesRules,Decisions land here when they match the queue's rules or an agent adds them.,符合队列规则或由 Agent 添加的决策会显示在这里。,符合队列规则或由智能体添加的决策会显示在这里。,agent-skill-display
app.issueUi.legacyInbox.joinNamed,Agent join request: {{name}},Agent 加入申请：{{name}},智能体加入申请：{{name}},agent-skill-display
app.issueUi.legacyInbox.joinRequest,Agent join request,Agent 加入申请,智能体加入申请,agent-skill-display
app.issueUi.legacyInbox.oneAgentError,<count>{{count}}</count> agent has errors,<count>{{count}}</count> 个 Agent 出现错误,<count>{{count}}</count> 个智能体出现错误,agent-skill-display
